culture_country,culture_cultureinfo,culture_language,id
br,pt-br,pt,cv42306.xml
br,pt-br,pt,cv6499.xml
br,pt-br,pt,cv41570.xml
br,pt-br,pt,cv45252.xml
br,pt-br,pt,cv52404.xml
br,pt-br,pt,cv43498.xml
br,en-au,pt,cv40707.xml
br,pt-br,pt,cv44204.xml
br,pt-br,pt,cv48699.xml
br,pt-br,pt,cv44634.xml
br,pt-br,pt,cv54160.xml
br,pt-br,pt,cv47675.xml
br,pt-br,pt,cv21862.xml
br,pt-br,pt,cv42688.xml
br,pt-br,pt,cv48669.xml
br,pt-br,pt,cv46045.xml
br,pt-br,pt,cv54974.xml
br,pt-br,pt,cv53136.xml
br,en-au,pt,cv44295.xml
br,nl-nl,pt,cv42895.xml
br,pt-br,pt,cv48772.xml
br,pt-br,pt,cv48990.xml
br,pt-br,pt,cv52474.xml
br,pt-br,pt,cv47678.xml
br,en-au,pt,cv52851.xml
br,pt-br,pt,cv42154.xml
br,en-nz,pt,cv45680.xml
br,pt-br,pt,cv54906.xml
br,pt-br,pt,cv45056.xml
br,pt-br,pt,cv55103.xml
br,pt-br,pt,cv50099.xml
br,pt-br,pt,cv34194.xml
br,pt-br,pt,cv44636.xml
br,pt-br,pt,cv55151.xml
br,pt-br,en,cv38615.xml
br,pt-br,pt,cv48790.xml
br,pt-br,pt,cv44067.xml
br,pt-br,pt,cv44100.xml
br,pt-br,pt,cv56549.xml
br,pt-br,pt,cv55344.xml
br,pt-br,pt,cv42559.xml
br,en-au,pt,cv47889.xml
br,pt-br,pt,cv52029.xml
br,pt-br,pt,cv42379.xml
br,pt-br,pt,cv52575.xml
br,pt-br,pt,cv51641.xml
br,pt-br,pt,cv21667.xml
br,pt-br,pt,cv45714.xml
br,pt-br,pt,cv55416.xml
br,pt-br,pt,cv42655.xml
br,pt-br,pt,cv51830.xml
br,pt-br,pt,cv52730.xml
br,pt-br,pt,cv45981.xml
br,pt-br,pt,cv52261.xml
br,pt-br,pt,cv43088.xml
br,en-in,pt,cv54067.xml
br,pt-br,pt,cv46066.xml
br,pt-br,pt,cv44872.xml
br,pt-br,pt,cv54171.xml
br,pt-br,pt,cv41179.xml
br,pt-br,pt,cv51874.xml
br,es-es,pt,cv53979.xml
br,pt-br,pt,cv42172.xml
br,en-au,pt,cv44292.xml
br,pt-br,pt,cv54593.xml
br,pt-br,pt,cv52574.xml
br,pt-br,pt,cv45459.xml
br,pt-br,pt,cv42748.xml
br,pt-br,pt,cv53065.xml
br,pt-br,pt,cv48829.xml
br,pt-br,pt,cv42397.xml
br,pt-br,pt,cv47841.xml
br,pt-br,pt,cv48794.xml
br,pt-br,pt,cv53169.xml
br,pt-br,pt,cv52931.xml
br,pt-br,pt,cv54525.xml
br,pt-br,pt,cv38699.xml
br,pt-br,pt,cv50227.xml
br,pt-br,pt,cv42665.xml
br,en-au,pt,cv54295.xml
br,pt-br,pt,cv44483.xml
br,pt-br,pt,cv52569.xml
br,pt-br,pt,cv53197.xml
br,zh-cn,pt,cv44690.xml
br,pt-br,pt,cv42219.xml
br,pt-br,pt,cv47092.xml
br,nl-nl,pt,cv42925.xml
br,pt-br,pt,cv40491.xml
br,pt-br,pt,cv45665.xml
br,pt-br,pt,cv53105.xml
br,en-au,pt,cv38068.xml
br,pt-br,pt,cv50205.xml
br,pt-br,pt,cv48873.xml
br,pt-br,pt,cv46044.xml
br,pt-br,en,cv54112.xml
br,pt-br,pt,cv44697.xml
br,pt-br,pt,cv42212.xml
br,pt-br,pt,cv54159.xml
br,pt-br,pt,cv44289.xml
br,pt-br,pt,cv43942.xml
br,pt-br,pt,cv43644.xml
br,pt-br,pt,cv44335.xml
br,pt-br,pt,cv47668.xml
br,en-nz,pt,cv42861.xml
br,pt-br,pt,cv49073.xml
br,en-au,pt,cv44350.xml
br,pt-br,pt,cv52604.xml
br,pt-br,pt,cv42211.xml
br,pt-br,pt,cv56041.xml
br,pt-br,pt,cv50486.xml
br,pt-br,pt,cv47138.xml
br,pt-br,pt,cv42155.xml
br,pt-br,pt,cv52483.xml
br,pt-br,pt,cv45481.xml
br,en-gb,pt,cv54387.xml
br,pt-br,pt,cv52602.xml
br,pt-br,pt,cv38677.xml
br,pt-br,pt,cv44169.xml
br,pt-br,pt,cv44753.xml
br,pt-br,pt,cv42191.xml
br,pt-br,pt,cv37384.xml
br,pt-br,pt,cv50435.xml
br,en-au,pt,cv42444.xml
br,en-au,pt,cv42815.xml
br,pt-br,pt,cv44844.xml
br,en-au,pt,cv44617.xml
br,pt-br,pt,cv46040.xml
br,pt-br,pt,cv54624.xml
br,pt-br,pt,cv44331.xml
br,pt-br,pt,cv48752.xml
br,pt-br,pt,cv54672.xml
br,pt-br,pt,cv41460.xml
br,pt-br,pt,cv44112.xml
br,pt-br,pt,cv46008.xml
br,en-au,pt,cv42739.xml
br,pt-br,pt,cv53590.xml
br,pt-br,pt,cv42125.xml
br,pt-br,pt,cv52608.xml
br,nl-nl,pt,cv44508.xml
br,pt-br,pt,cv54863.xml
br,pt-br,pt,cv49052.xml
br,en-au,pt,cv48939.xml
br,pt-br,pt,cv54359.xml
br,pt-br,pt,cv53187.xml
br,pt-br,pt,cv53130.xml
br,pt-br,pt,cv42498.xml
br,pt-br,pt,cv50459.xml
br,pt-br,pt,cv48005.xml
br,pt-br,pt,cv45207.xml
br,pt-br,pt,cv43893.xml
br,pt-br,pt,cv47115.xml
br,pt-br,pt,cv52743.xml
br,pt-br,pt,cv51887.xml
br,pt-br,pt,cv52492.xml
br,pt-br,pt,cv44679.xml
